,Timestamp,Motion_detection
360,2024-10-23 20:04:57,1
361,2024-10-23 20:06:43,0
362,2024-10-24 06:28:58,1
363,2024-10-24 06:30:10,0
364,2024-10-24 06:32:06,1
365,2024-10-24 06:33:18,0
366,2024-10-24 09:16:01,1
367,2024-10-24 09:17:13,0
368,2024-10-24 09:17:19,1
369,2024-10-24 09:18:31,0
370,2024-10-24 09:18:37,1
371,2024-10-24 09:21:50,0
372,2024-10-24 09:21:55,1
373,2024-10-24 09:24:20,0
374,2024-10-24 09:24:24,1
375,2024-10-24 09:25:37,0
376,2024-10-24 09:25:41,1
377,2024-10-24 09:29:11,0
378,2024-10-24 09:29:16,1
379,2024-10-24 09:30:28,0
380,2024-10-24 09:30:41,1
381,2024-10-24 09:32:28,0
382,2024-10-24 10:59:30,1
383,2024-10-24 11:01:00,0
384,2024-10-24 18:32:30,1
385,2024-10-24 18:33:42,0
386,2024-10-24 20:29:13,1
387,2024-10-24 20:30:25,0
388,2024-10-25 14:40:45,1
389,2024-10-25 14:41:57,0
390,2024-10-25 14:42:03,1
391,2024-10-25 14:43:15,0
392,2024-10-25 18:41:30,1
393,2024-10-25 18:42:43,0
394,2024-10-25 18:58:58,1
395,2024-10-25 19:00:12,0
396,2024-10-25 19:01:21,1
397,2024-10-25 19:03:08,0
398,2024-10-25 19:04:19,1
399,2024-10-25 19:05:34,0
400,2024-10-26 15:41:05,1
401,2024-10-26 15:42:18,0
402,2024-10-26 15:42:33,1
403,2024-10-26 15:43:45,0
404,2024-10-26 15:45:39,1
405,2024-10-26 15:47:26,0
406,2024-10-26 15:48:40,1
407,2024-10-26 15:49:53,0
408,2024-10-26 15:49:58,1
409,2024-10-26 15:51:10,0
410,2024-10-26 15:53:16,1
411,2024-10-26 15:54:28,0
412,2024-10-26 15:59:23,1
413,2024-10-26 16:00:36,0
414,2024-10-26 16:00:39,1
415,2024-10-26 16:01:52,0
416,2024-10-26 16:01:55,1
417,2024-10-26 16:03:08,0
418,2024-10-26 16:03:41,1
419,2024-10-26 16:04:54,0
420,2024-10-26 16:05:10,1
421,2024-10-26 16:06:22,0
422,2024-10-26 16:06:29,1
423,2024-10-26 16:07:42,0
424,2024-10-26 16:08:37,1
425,2024-10-26 16:11:32,0
426,2024-10-26 16:12:56,1
427,2024-10-26 16:14:12,0
428,2024-10-26 16:28:08,1
429,2024-10-26 16:29:21,0
