,timestamp,car_no,truck_no,bus_no,motorcycle_no
5430,2024-11-02 03:38:09,1,0,0,0
5431,2024-11-02 03:38:35,1,0,0,0
5432,2024-11-02 03:38:53,1,0,0,0
5433,2024-11-02 03:39:09,1,0,0,0
5434,2024-11-02 03:39:19,1,0,0,0
5435,2024-11-02 03:40:16,1,0,0,0
5436,2024-11-02 03:41:38,1,0,0,0
5437,2024-11-02 03:42:35,1,0,0,0
5438,2024-11-02 03:43:12,1,0,0,0
5439,2024-11-02 03:47:31,1,0,0,0
5440,2024-11-02 03:48:03,1,0,0,0
5441,2024-11-02 03:48:14,1,0,0,0
5442,2024-11-02 03:48:32,1,0,0,0
5443,2024-11-02 03:48:52,1,0,0,0
5444,2024-11-02 03:49:01,1,0,0,0
5445,2024-11-02 03:49:05,1,0,0,0
5446,2024-11-02 03:49:24,1,0,0,0
5447,2024-11-02 03:49:32,1,0,0,0
5448,2024-11-02 03:49:51,1,0,0,0
5449,2024-11-02 03:50:26,1,0,0,0
5450,2024-11-02 03:50:35,1,0,0,0
5451,2024-11-02 03:50:48,1,0,0,0
5452,2024-11-02 03:52:31,1,0,0,0
5453,2024-11-02 03:54:56,1,0,0,0
5454,2024-11-02 03:57:46,1,0,0,0
5455,2024-11-02 03:58:27,1,0,0,0
5456,2024-11-02 03:58:44,1,0,0,0
5457,2024-11-02 04:00:01,1,0,0,0
5458,2024-11-02 04:06:16,1,0,0,0
5459,2024-11-02 04:07:03,1,0,0,0
5460,2024-11-02 04:07:10,1,0,0,0
5461,2024-11-02 04:07:21,1,0,0,0
5462,2024-11-02 04:08:30,1,0,0,0
5463,2024-11-02 04:08:52,1,0,0,0
5464,2024-11-02 04:09:03,1,0,0,0
5465,2024-11-02 04:11:29,1,0,0,0
5466,2024-11-02 04:12:48,1,0,0,0
5467,2024-11-02 04:14:00,1,0,0,0
5468,2024-11-02 04:14:07,1,0,0,0
5469,2024-11-02 04:14:18,1,0,0,0
5470,2024-11-02 04:14:57,1,0,0,0
5471,2024-11-02 04:15:04,1,0,0,0
5472,2024-11-02 04:15:31,1,0,0,0
5473,2024-11-02 04:15:48,1,0,0,0
5474,2024-11-02 04:16:15,1,0,0,0
5475,2024-11-02 04:16:35,1,0,0,0
5476,2024-11-02 04:17:04,1,0,0,0
5477,2024-11-02 04:17:20,1,0,0,0
5478,2024-11-02 04:17:38,1,0,0,0
5479,2024-11-02 04:17:44,1,0,0,0
5480,2024-11-02 04:17:55,1,0,0,0
5481,2024-11-02 04:18:31,1,0,0,0
5482,2024-11-02 04:18:37,1,0,0,0
5483,2024-11-02 04:19:10,1,0,0,0
5484,2024-11-02 04:19:16,1,0,0,0
5485,2024-11-02 04:19:37,1,0,0,0
5486,2024-11-02 04:21:07,1,0,0,0
5487,2024-11-02 04:21:13,1,0,0,0
5488,2024-11-02 04:21:42,1,0,0,0
5489,2024-11-02 04:21:58,1,0,0,0
5490,2024-11-02 04:22:05,1,0,0,0
5491,2024-11-02 04:22:56,1,0,0,0
5492,2024-11-02 04:23:03,1,0,0,0
5493,2024-11-02 04:23:32,1,0,0,0
5494,2024-11-02 04:23:43,1,0,0,0
5495,2024-11-02 04:24:19,1,0,0,0
5496,2024-11-02 04:25:01,1,0,0,0
5497,2024-11-02 04:25:45,1,0,0,0
5498,2024-11-02 04:26:04,1,0,0,0
5499,2024-11-02 04:26:19,1,0,0,0
5500,2024-11-02 04:26:55,1,0,0,0
5501,2024-11-02 04:27:11,1,0,0,0
5502,2024-11-02 04:27:36,1,0,0,0
